Projekt-Datei // Supermarkt-Daten;;;
;;;
Transaktions-ID;Datum;Kunden-ID;Artikel
5ffb5440-5bf8-495c-a011-72a66aa9a615;05.11.2020;381;"Haltbare Milch;Flaschenbier;Liquör;Geschirr;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
70b7962e-8d0d-4b90-9079-5b4d2adb2b75;21.08.2020;495;"Eier aus der Region;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
;;;
9a421944-a4aa-4927-a427-bee53113ffee;28.01.2021;156;"Frischhaltefolie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
ff4d7c47-8f7f-4f2c-b363-7719c92c7025;31.10.2020;205;"Wurzelgemüse;Trockenobst;Butter;Saure Sahne;Brötchen;;;;;;;;;;;;;;;;;;;;;;;;;;;"
4a2a9b4b-2b68-4b11-a059-a4303c061689;21.12.2020;209;"Vollmilch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
b2abae39-6b2b-4f1b-bb8a-1e12fa744d76;13.06.2020;180;"Streichkäse;Kaffee;Mineralwasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
;;;
fceb830a-227a-47fc-9a94-2969a6217ab5;19.06.2020;424;"Weißwein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
d0b7277c-28fd-469a-99f6-eec511815cfa;25.04.2020;496;"Vollmilch;Dunkles Brot;Zeitungen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
d5596cf0-e978-4ee4-8418-36ebdde62081;26.06.2020;138;"Wurzelgemüse;Vollmilch;Joghurt;Brötchen;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
f85b6afe-2cea-438f-92d3-4a4cb5efa552;26.12.2020;160;"Hühnchen;Zitrusfrüchte;Joghurt;Haltbare Milch;Weichkäse;Brötchen;Margarine;Senf;Kaffee;Küchenhandtuch;Kerzen;;;;;;;;;;;;;;;;;;;;;"
d11ab37b-1a88-445a-ab69-4044b395f1be;16.10.2020;4;"Hamburgerfleisch;Beeren;Sonstiges Gemüse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
55c46a3a-b75b-4021-9561-8c31d008d12c;10.10.2020;15;"exotische Früchte;Sonstiges Gemüse;eingelegtes Gemüse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
