Buchungskreis;Unternehmen;Region;Verkaufsbeleg;Datum Verkaufsbeleg;Kundennummer;Kundenname;Materialnummer;Materialbezeichnung;Menge (StÅck);Umsatz (EUR);Retoure;;
0001;Sports Fit DE;Europa;1000065421;01.10.2021;9001;Nice Cloth ;1000567;Shiny Shoes;48;1680;;;
0001;Sports Fit DE;Europa;1000065422;01.10.2021;9002;Good Shoes;1000568;Classic Shoes;23;920;;;
0001;Sports Fit DE;Europa;1000065423;01.10.2021;9003;Sporty 3;1000569;Sporty Sneakers (Blue);61;3050;;;
0001;Sports Fit DE;Europa;;;;;;;;;;;
0001;Sports Fit DE;Europa;1000065425;01.10.2021;9005;Joe's;1000567;Shiny Shoes;13;260;;;
0001;Sports Fit DE;Europa;1000065426;01.10.2021;9001;Nice Cloth ;1000568;Classic Shoes;15;225;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
0001;Sports Fit DE;Europa;1000065428;03.10.2021;9003;Sporty 3;1000570;Sporty Sneakers (White);104;3640;;;
0001;Sports Fit DE;Europa;1000065429;03.10.2021;9004;Smart Shoes;1000567;Shiny Shoes;57;2280;X;;
0001;Sports Fit DE;Europa;1000065430;03.10.2021;9005;Joe's;1000568;Classic Shoes;73;;;;
0001;Sports Fit DE;Europa;1000065431;03.10.2021;9001;Nice Cloth ;1000569;Sporty Sneakers (Blue);123;;;;
0002;Sports Fit NL;Europa;1000065432;03.10.2021;9002;Good Shoes;1000570;Sporty Sneakers (White);123;;;;
;;;;;;;;;;;X;;
0002;Sports Fit NL;Europa;1000065434;03.10.2021;9004;Smart Shoes;1000568;Classic Shoes;18;720;X;;
0002;Sports Fit NL;Europa;1000065435;03.10.2021;9005;Joe's;1000569;Sporty Sneakers (Blue);133;4655;;;
0002;Sports Fit NL;Europa;1000065436;03.10.2021;9001;Nice Cloth ;1000570;Sporty Sneakers (White);22;880;;;
0002;Sports Fit NL;Europa;1000065437;03.10.2021;9002;Good Shoes;1000567;Shiny Shoes;123;6150;;;
0002;Sports Fit NL;Europa;1000065438;01.10.2021;9003;Sporty 3;1000568;Classic Shoes;121;9680;;;
0002;Sports Fit NL;Europa;1000065439;01.10.2021;9004;Smart Shoes;1000569;Sporty Sneakers (Blue);135;2700;;;
0002;Sports Fit NL;Europa;1000065440;01.10.2021;9005;Joe's;1000570;Sporty Sneakers (White);45;675;;;
0002;Sports Fit NL;Europa;1000065441;01.10.2021;9001;Nice Cloth ;1000567;Shiny Shoes;71;2840;X;;
0002;Sports Fit NL;Europa;1000065442;01.10.2021;9002;Good Shoes;1000568;Classic Shoes;139;4865;;;
0002;Sports Fit NL;Europa;1000065443;01.10.2021;9003;Sporty 3;1000569;Sporty Sneakers (Blue);17;680;;;
0002;Sports Fit NL;Europa;1000065444;03.10.2021;9004;Smart Shoes;1000570;Sporty Sneakers (White);87;4350;;;
0002;Sports Fit NL;Europa;1000065445;03.10.2021;9005;Joe's;1000567;Shiny Shoes;134;10720;X;;
0002;Sports Fit NL;Europa;1000065446;03.10.2021;9001;Nice Cloth ;1000568;Classic Shoes;21;420;;;
0003;Sports Fit ES;Europa;1000065447;03.10.2021;9002;Good Shoes;1000569;Sporty Sneakers (Blue);110;1650;;;
0003;Sports Fit ES;Europa;1000065448;03.10.2021;9003;Sporty 3;1000570;Sporty Sneakers (White);37;1480;;;
0003;Sports Fit ES;Europa;1000065449;03.10.2021;9004;Smart Shoes;1000567;Shiny Shoes;44;1540;;;
0003;Sports Fit ES;Europa;1000065450;03.10.2021;9005;Joe's;1000568;Classic Shoes;7;280;X;;
0003;Sports Fit ES;Europa;1000065451;03.10.2021;9001;Nice Cloth ;1000569;Sporty Sneakers (Blue);100;5000;;;
0003;Sports Fit ES;Europa;1000065452;03.10.2021;9002;Good Shoes;1000570;Sporty Sneakers (White);5;400;;;
0003;Sports Fit ES;Europa;1000065453;03.10.2021;9003;Sporty 3;1000567;Shiny Shoes;95;1900;;;
0003;Sports Fit ES;Europa;1000065454;03.10.2021;9004;Smart Shoes;1000568;Classic Shoes;101;1515;X;;
0003;Sports Fit ES;Europa;1000065455;01.10.2021;9005;Joe's;1000569;Sporty Sneakers (Blue);63;2520;X;;
0003;Sports Fit ES;Europa;1000065456;01.10.2021;9001;Nice Cloth ;1000570;Sporty Sneakers (White);93;3255;;;
0003;Sports Fit ES;Europa;1000065457;01.10.2021;9002;Good Shoes;1000567;Shiny Shoes;74;2960;;;
0003;Sports Fit ES;Europa;1000065458;01.10.2021;9003;Sporty 3;1000568;Classic Shoes;118;5900;;;
0003;Sports Fit ES;Europa;1000065459;01.10.2021;9004;Smart Shoes;1000569;Sporty Sneakers (Blue);91;7280;;;
0004;Sports Fit IT;Europa;1000065460;01.10.2021;9005;Joe's;1000570;Sporty Sneakers (White);2;40;;;
0004;Sports Fit IT;Europa;1000065461;03.10.2021;9001;Nice Cloth ;1000567;Shiny Shoes;149;2235;;;
0004;Sports Fit IT;Europa;1000065462;03.10.2021;9002;Good Shoes;1000568;Classic Shoes;51;2040;X;;
0004;Sports Fit IT;Europa;1000065463;03.10.2021;9003;Sporty 3;1000569;Sporty Sneakers (Blue);40;1400;;;
0004;Sports Fit IT;Europa;1000065464;03.10.2021;9004;Smart Shoes;1000570;Sporty Sneakers (White);14;560;;;
0004;Sports Fit IT;Europa;1000065465;03.10.2021;9005;Joe's;1000567;Shiny Shoes;110;5500;;;
0004;Sports Fit IT;Europa;1000065466;03.10.2021;9001;Nice Cloth ;1000568;Classic Shoes;136;1088;X;;
