Datum;Messplatz;Fahrtrichtung;Fahrzeuge_gesamt;Verstoesse
02.11.2021;Eupener Strasse;Jahnplatz;310;17
02.11.2021;Soerser Weg;Soers;295;42
02.11.2021;Hergenrather Weg;Luetticher Strasse;192;59
02.11.2021;Joseph von Goerres Strasse;Europaplatz;555;15
03.11.2021;Karl Marx Allee;Adenauerallee;707;83
03.11.2021;Peliserkerstrasse;Juelicher Strasse;868;68
03.11.2021;Kohlscheider Strasse;Aachen;1500;1
03.11.2021;Karl Marx Allee;Friedrich Ebert Allee;794;33
03.11.2021;Luetticher Strasse;Belgien;344;20
04.11.2021;Ronheider Weg;Weisshausstrasse;187;29
04.11.2021;Am Hangeweiher;Kaiser Friedrich Allee;172;26
04.11.2021;Purweider Weg;Merowinger Strasse;419;21
04.11.2021;Freunder Strasse;Von Coels Strasse;273;10
05.11.2021;Kesselstrasse;Raerener Strasse;220;21
05.11.2021;Joseph von Goerres Strasse;Hohenzollernplatz;394;8
08.11.2021;Schlossparkstrasse;Roermonder Strasse;423;50
08.11.2021;Adalbersteinweg;Trierer Strasse;981;7
08.11.2021;Seffenter Weg;Pariser Ring;90;3
09.11.2021;Luetticher Strasse;Kelmis;322;32
09.11.2021;Trierer Strasse;Kornelimuenster;1910;8
09.11.2021;Luetticher Strasse;Stadt Mitte;1301;30
09.11.2021;Trierer Strasse;Innenstadt;1851;2
10.11.2021;Berensberger Strasse;Roermonder Strasse;387;17
10.11.2021;Krefelder Strasse;Wuerselen;639;10
10.11.2021;Schurzelter Strasse;Seffent;464;42
10.11.2021;Schleidener Strasse;Roetgen;634;28
10.11.2021;Obere Drimbornstrasse;Adenauerallee;325;34
10.11.2021;Eupener Strasse;Grenze;593;52
11.11.2021;Weisshausstrasse;Im Brockenfeld;105;31
11.11.2021;Weisshausstrasse;Salierallee;812;143
11.11.2021;Neuenhofstrasse;Madrider Ring;444;8
11.11.2021;Nirmer Strasse;Von Coels Strasse;318;11
11.11.2021;Reinhardstrasse;Trierer Strasse;223;18
11.11.2021;Ronheider Berg ;Luetticher Strasse;814;25
11.11.2021;Neuenhofstrasse;Debystrasse;514;39
12.11.2021;Karl Marx Allee;Adenauerallee;772;70
12.11.2021;Trierer Strasse;Brand;1133;77
12.11.2021;Von Coels Strasse;Stolberg;553;10
12.11.2021;Monschauer Strasse;Lichtenbusch;1205;4
12.11.2021;Kornelimuenster Weg;Hitfelderstrasse;320;8
13.11.2021;Krefelder Strasse;Wuerselen;1295;69
13.11.2021;Prager Ring;Krefelder Strasse;1809;91
14.11.2021;Krefelder Strasse;Wuerselen;477;32
14.11.2021;Vaalser Strasse;Innenstadt;1475;44
15.11.2021;Krefelder Strasse;Wuerselen;1404;29
15.11.2021;Luetticher Strasse;Belgien;258;5
15.11.2021;Horbacher Strasse;Richterrich;117;0
15.11.2021;Horbacher Strasse;Locht;62;6
15.11.2021;Nerscheider Weg;Pascalstrasse;317;13
15.11.2021;Nerscheider Weg;Aachener Strasse;379;54
16.11.2021;Aachen Muenchener Allee;Hohenstaufenallee;716;17
16.11.2021;Soerser Weg;Soers;386;40
16.11.2021;Soerser Weg;Krefelder Strasse;280;38
16.11.2021;Wuerselener Strasse;Haaren Mitte;180;15
16.11.2021;Purweider Weg;Merowinger Strasse;239;15
16.11.2021;Hochstrasse;Trierer Strasse;661;24
16.11.2021;Peliserkerstrasse;Juelicher Strasse;476;27
17.11.2021;Wilhelm Ziemons Strasse;Wolferskaul;136;6
17.11.2021;Oberforstbacher Strasse;Aachener Strasse;220;11
17.11.2021;Praemienstrasse;Schleidener Strasse;180;17
17.11.2021;Maria Theresia Allee;Luxemburger Ring;106;22
17.11.2021;Karl Marx Allee;Friedrich Ebert Allee;534;12
17.11.2021;Prager Ring;Krefelder Strasse;1795;17
18.11.2021;Schlossparkstrasse;Roermonder Strasse;329;4
