planet_name,planet_type,host_star_name,star_id,spectral_type,mass_multiplier,mass_wrt,orbital_period_days,radius_wrt,radius_multiplier,distance,discovery_year,planet_id
Kepler-1770 b,Neptune-like,Kepler-1770,164,,8.45,Earth,16.84189987,Jupiter,0.253,1902.0,2021,1
Kepler-1691 b,Super Earth,Kepler-1691,1359,,4.02,Earth,3.8482,Earth,1.835,4135.0,2020,2
Kepler-1943 b,Super Earth,Kepler-1943,1329,,3.02,Earth,4.85018015,Earth,1.549,3277.0,2021,3
Kepler-1000 b,Neptune-like,Kepler-1000,446,,20.3,Earth,120.0181272,Jupiter,0.425,3639.0,2016,4
Kepler-1043 b,Neptune-like,Kepler-1043,2703,,7.04,Earth,38.5053398,Jupiter,0.227,2947.0,2016,5
HD 68988 b,Gas Giant,HD 68988,3826,G2 V,1.97,Jupiter,6.27711,Jupiter,1.2,198.0,2001,6
Kepler-524 c,Terrestrial,Kepler-524,3639,,0.84,Earth,1.88897906,Earth,0.96,3452.0,2016,7
HATS-17 b,Gas Giant,HATS-17,2348,G V,1.338,Jupiter,16.254611,Jupiter,0.777,1306.0,2016,8
HD 171028 b,Gas Giant,HD 171028,3349,G0,2.62,Jupiter,550.0,Jupiter,1.18,364.0,2007,9
HD 4917 b,Gas Giant,HD 4917,3643,K0 III/IV,1.615,Jupiter,400.5,Jupiter,1.21,666.0,2018,10
K2-198 c,Super Earth,K2-198,1138,,2.61,Earth,3.3596055,Earth,1.423,361.0,2019,11
Kepler-552 b,Neptune-like,Kepler-552,3714,,14.8,Earth,5.26341576,Jupiter,0.352,2752.0,2016,12
K2-356 b,Neptune-like,K2-356,2082,,5.86,Earth,21.0267366,Jupiter,0.204,1160.0,2021,13
GJ 1252 b,Super Earth,GJ 1252,3907,M3,1.32,Earth,0.5182331,Earth,1.18,66.0,2020,14
Kepler-1447 b,Neptune-like,Kepler-1447,1951,,8.75,Earth,56.6747285,Jupiter,0.259,2904.0,2016,15
Kepler-316 b,Super Earth,Kepler-316,861,,1.2,Earth,2.240508,Earth,1.06,1256.0,2014,16
HD 191939 f,Gas Giant,HD 191939,1333,,2.07659,Jupiter,2200.0,Jupiter,1.19,175.0,2022,17
Kepler-1090 b,Neptune-like,Kepler-1090,683,,5.69,Earth,198.680179,Jupiter,0.201,2801.0,2016,18
HD 4203 b,Gas Giant,HD 4203,1612,G5,2.23,Jupiter,431.88,Jupiter,1.19,265.0,2001,19
WASP-89 b,Gas Giant,WASP-89,3422,K3,5.9,Jupiter,3.3564227,Jupiter,1.04,949.0,2015,20
Kepler-42 b,Terrestrial,Kepler-42,334,M,0.399,Earth,1.2137672,Earth,0.78,131.0,2011,21
Kepler-362 c,Super Earth,Kepler-362,1162,,2.7,Earth,37.866281,Earth,1.45,3557.0,2014,22
Kepler-198 c,Neptune-like,Kepler-198,723,,6.66,Earth,49.567416,Jupiter,0.22,1616.0,2014,23
Kepler-326 b,Super Earth,Kepler-326,812,,0.14,Jupiter,2.248329,Earth,1.52,1591.0,2014,24
Kepler-385 c,Neptune-like,Kepler-385,731,,13.2,Earth,15.163161,Jupiter,0.271,4673.0,2014,25
HD 191939 c,Neptune-like,HD 191939,1333,,8.0,Earth,28.579743,Jupiter,0.285,175.0,2020,26
Kepler-132 c,Super Earth,Kepler-132,2991,,2.18,Earth,6.414914,Earth,1.28,1140.0,2014,27
HD 219134 f,Super Earth,HD 219134,1614,K3 V,7.3,Earth,22.717,Earth,1.31,21.0,2015,28
Kepler-996 b,Super Earth,Kepler-996,1214,,4.58,Earth,3.77059058,Earth,1.98,3968.0,2016,29
K2-28 b,Neptune-like,K2-28,3736,M4,5.99,Earth,2.260455,Jupiter,0.207,205.0,2016,30
Kepler-906 b,Neptune-like,Kepler-906,3550,,5.1,Earth,41.6979976,Earth,2.11,2472.0,2016,31
HD 176986 b,Neptune-like,HD 176986,2554,K2.5 V,5.74,Earth,6.4898,Jupiter,0.202,91.0,2017,32
Wolf 1061 b,Super Earth,Wolf 1061,2347,M3.5,1.91,Earth,4.8869,Earth,1.21,14.0,2015,33
K2-140 b,Gas Giant,K2-140,2456,G6 V,0.93,Jupiter,6.569188,Jupiter,1.21,1135.0,2017,34
