,year_month,date,datetime,payment,total,tip,meal_name,type
0,2024-03,2024-03-01,2024-03-01 10:15:50.520,card,39.41,4.09,Grilled Steak,Meat Dish
1,2024-03,2024-03-01,2024-03-01 12:19:22.539,card,39.04,4.1,Vegetable Lasagna,Vegetarian Dish
2,2024-03,2024-03-01,2024-03-01 12:20:18.089,card,39.21,5.65,Vegetable Lasagna,Vegetarian Dish
3,2024-03,2024-03-01,2024-03-01 13:46:33.006,card,29.44,3.79,Grilled Salmon,Fish Dish
4,2024-03,2024-03-01,2024-03-01 13:48:14.626,card,39.94,1.98,Grilled Steak,Meat Dish
5,2024-03,2024-03-01,2024-03-01 15:39:47.726,card,34.45,6.44,Roast Chicken,Meat Dish
6,2024-03,2024-03-01,2024-03-01 16:19:02.756,card,38.87,2.1,Vegetable Lasagna,Vegetarian Dish
7,2024-03,2024-03-01,2024-03-01 18:39:03.580,card,34.53,4.73,Roast Chicken,Meat Dish
8,2024-03,2024-03-01,2024-03-01 19:22:01.762,card,39.45,5.25,Quinoa Salad,Vegetarian Dish
9,2024-03,2024-03-01,2024-03-01 19:23:15.887,card,35.37,4.97,Roast Chicken,Meat Dish
10,2024-03,2024-03-01,2024-03-01 19:29:17.391,card,35.05,3.04,Roast Chicken,Meat Dish
11,2024-03,2024-03-02,2024-03-02 10:22:06.957,card,29.07,1.34,Grilled Salmon,Fish Dish
12,2024-03,2024-03-02,2024-03-02 10:30:35.668,cash,40.59,5.92,Grilled Steak,Meat Dish
13,2024-03,2024-03-02,2024-03-02 10:41:41.249,card,34.36,3.93,Roast Chicken,Meat Dish
14,2024-03,2024-03-02,2024-03-02 11:59:45.484,card,35.57,2.8,Roast Chicken,Meat Dish
15,2024-03,2024-03-02,2024-03-02 14:38:35.535,card,30.06,3.57,Grilled Salmon,Fish Dish
16,2024-03,2024-03-02,2024-03-02 16:37:24.475,card,35.56,5.66,Roast Chicken,Meat Dish
17,2024-03,2024-03-02,2024-03-02 17:34:54.969,card,29.39,1.02,Grilled Salmon,Fish Dish
18,2024-03,2024-03-03,2024-03-03 10:10:43.981,cash,40.66,4.85,Grilled Steak,Meat Dish
19,2024-03,2024-03-03,2024-03-03 10:27:18.561,card,39.16,3.17,Grilled Steak,Meat Dish
20,2024-03,2024-03-03,2024-03-03 11:33:56.118,card,32.53,4.91,Beef Stir-Fry,Meat Dish
21,2024-03,2024-03-03,2024-03-03 12:26:56.098,card,30.29,2.05,Grilled Salmon,Fish Dish
22,2024-03,2024-03-03,2024-03-03 13:09:36.321,card,39.01,1.7,Vegetable Lasagna,Vegetarian Dish
23,2024-03,2024-03-03,2024-03-03 17:06:40.271,card,41.0,0.63,Quinoa Salad,Vegetarian Dish
24,2024-03,2024-03-03,2024-03-03 17:08:45.895,card,30.79,3.17,Beef Stir-Fry,Meat Dish
25,2024-03,2024-03-03,2024-03-03 18:03:23.369,card,34.99,2.7,Roast Chicken,Meat Dish
26,2024-03,2024-03-03,2024-03-03 18:04:27.946,card,37.17,4.37,Roast Chicken,Meat Dish
27,2024-03,2024-03-03,2024-03-03 18:08:04.959,card,40.36,3.37,Vegetable Lasagna,Vegetarian Dish
28,2024-03,2024-03-04,2024-03-04 10:03:51.994,card,40.14,2.64,Grilled Steak,Meat Dish
29,2024-03,2024-03-04,2024-03-04 10:54:50.958,card,39.05,2.96,Grilled Steak,Meat Dish
30,2024-03,2024-03-04,2024-03-04 11:05:16.184,card,35.26,3.15,Roast Chicken,Meat Dish
31,2024-03,2024-03-04,2024-03-04 14:04:37.734,card,24.97,4.08,Tuna Steak,Fish Dish
32,2024-03,2024-03-05,2024-03-05 09:59:52.651,card,40.0,3.08,Grilled Steak,Meat Dish
33,2024-03,2024-03-05,2024-03-05 14:34:55.963,card,39.2,4.25,Grilled Steak,Meat Dish
34,2024-03,2024-03-05,2024-03-05 17:34:06.043,card,40.43,4.62,Grilled Steak,Meat Dish
35,2024-03,2024-03-05,2024-03-05 17:35:25.021,card,40.51,1.89,Vegetable Lasagna,Vegetarian Dish
36,2024-03,2024-03-05,2024-03-05 17:36:28.571,card,39.86,5.83,Quinoa Salad,Vegetarian Dish
37,2024-03,2024-03-05,2024-03-05 17:37:13.659,card,39.53,3.06,Vegetable Lasagna,Vegetarian Dish
38,2024-03,2024-03-05,2024-03-05 17:38:09.354,card,41.99,6.0,Vegetable Lasagna,Vegetarian Dish
39,2024-03,2024-03-05,2024-03-05 17:56:15.776,card,29.4,3.9,Beef Stir-Fry,Meat Dish
40,2024-03,2024-03-05,2024-03-05 18:01:31.242,card,41.51,4.62,Vegetable Lasagna,Vegetarian Dish
41,2024-03,2024-03-06,2024-03-06 12:30:27.089,cash,35.53,4.56,Roast Chicken,Meat Dish
42,2024-03,2024-03-06,2024-03-06 13:24:07.667,card,29.73,1.79,Grilled Salmon,Fish Dish
43,2024-03,2024-03-06,2024-03-06 13:25:14.351,card,29.7,4.62,Beef Stir-Fry,Meat Dish
44,2024-03,2024-03-06,2024-03-06 14:52:01.761,card,39.42,4.12,Pork Chops,Meat Dish
45,2024-03,2024-03-06,2024-03-06 14:53:18.344,card,39.8,2.84,Pork Chops,Meat Dish
46,2024-03,2024-03-07,2024-03-07 10:08:58.945,cash,42.1,4.74,Grilled Steak,Meat Dish
47,2024-03,2024-03-07,2024-03-07 10:18:40.543,card,39.47,2.16,Vegetable Lasagna,Vegetarian Dish
48,2024-03,2024-03-07,2024-03-07 11:03:58.976,card,38.97,2.96,Grilled Steak,Meat Dish
49,2024-03,2024-03-07,2024-03-07 11:25:43.977,cash,40.52,3.99,Grilled Steak,Meat Dish
50,2024-03,2024-03-07,2024-03-07 15:40:22.606,card,29.49,2.33,Grilled Salmon,Fish Dish
51,2024-03,2024-03-07,2024-03-07 15:41:28.784,card,35.75,4.83,Roast Chicken,Meat Dish
52,2024-03,2024-03-08,2024-03-08 10:34:41.283,card,30.25,2.06,Beef Stir-Fry,Meat Dish
53,2024-03,2024-03-08,2024-03-08 12:22:28.653,card,39.37,3.87,Pork Chops,Meat Dish
54,2024-03,2024-03-08,2024-03-08 13:53:02.042,card,29.08,2.12,Grilled Salmon,Fish Dish
55,2024-03,2024-03-08,2024-03-08 14:44:12.686,card,29.98,1.9,Grilled Salmon,Fish Dish
56,2024-03,2024-03-08,2024-03-08 14:45:11.048,card,29.31,4.32,Grilled Salmon,Fish Dish
57,2024-03,2024-03-08,2024-03-08 14:46:11.155,card,34.14,4.88,Roast Chicken,Meat Dish
58,2024-03,2024-03-08,2024-03-08 18:57:51.451,card,40.43,8.67,Grilled Steak,Meat Dish
59,2024-03,2024-03-08,2024-03-08 18:59:24.941,card,40.09,4.56,Grilled Steak,Meat Dish
60,2024-03,2024-03-09,2024-03-09 11:49:37.292,cash,40.39,0.74,Vegetable Lasagna,Vegetarian Dish
61,2024-03,2024-03-09,2024-03-09 12:05:15.559,card,25.56,4.03,Tuna Steak,Fish Dish
62,2024-03,2024-03-09,2024-03-09 12:07:38.275,card,30.53,4.47,Grilled Salmon,Fish Dish
63,2024-03,2024-03-09,2024-03-09 12:09:47.714,card,41.68,3.44,Pork Chops,Meat Dish
64,2024-03,2024-03-09,2024-03-09 12:13:03.521,card,29.78,2.92,Grilled Salmon,Fish Dish
65,2024-03,2024-03-09,2024-03-09 12:14:26.458,card,29.18,3.92,Grilled Salmon,Fish Dish
66,2024-03,2024-03-09,2024-03-09 13:09:22.229,card,39.7,2.99,Grilled Steak,Meat Dish
67,2024-03,2024-03-09,2024-03-09 13:41:06.167,card,34.19,1.26,Roast Chicken,Meat Dish
68,2024-03,2024-03-09,2024-03-09 13:53:10.408,card,29.33,3.41,Beef Stir-Fry,Meat Dish
69,2024-03,2024-03-09,2024-03-09 13:54:36.828,card,40.0,7.06,Pork Chops,Meat Dish
70,2024-03,2024-03-09,2024-03-09 14:08:01.829,card,34.89,4.2,Roast Chicken,Meat Dish
71,2024-03,2024-03-09,2024-03-09 14:26:52.873,card,42.32,3.48,Vegetable Lasagna,Vegetarian Dish
72,2024-03,2024-03-09,2024-03-09 19:17:57.572,card,39.61,3.6,Pork Chops,Meat Dish
73,2024-03,2024-03-09,2024-03-09 19:19:10.084,card,39.75,1.89,Vegetable Lasagna,Vegetarian Dish
74,2024-03,2024-03-10,2024-03-10 07:44:18.538,cash,31.34,3.98,Grilled Salmon,Fish Dish
75,2024-03,2024-03-10,2024-03-10 07:45:29.441,cash,37.02,3.72,Roast Chicken,Meat Dish
76,2024-03,2024-03-10,2024-03-10 10:06:02.960,cash,40.9,3.62,Grilled Steak,Meat Dish
77,2024-03,2024-03-10,2024-03-10 11:19:20.764,card,25.25,3.01,Tuna Steak,Fish Dish
78,2024-03,2024-03-10,2024-03-10 17:51:03.048,cash,37.72,4.89,Roast Chicken,Meat Dish
79,2024-03,2024-03-10,2024-03-10 19:34:00.478,card,40.69,4.77,Grilled Steak,Meat Dish
80,2024-03,2024-03-10,2024-03-10 19:35:54.712,card,29.56,4.58,Beef Stir-Fry,Meat Dish
81,2024-03,2024-03-11,2024-03-11 10:18:46.724,cash,40.08,1.21,Grilled Steak,Meat Dish
82,2024-03,2024-03-11,2024-03-11 11:24:15.022,cash,42.7,2.85,Pork Chops,Meat Dish
83,2024-03,2024-03-11,2024-03-11 11:24:51.565,cash,30.75,2.09,Beef Stir-Fry,Meat Dish
84,2024-03,2024-03-11,2024-03-11 11:26:44.221,cash,30.33,4.63,Grilled Salmon,Fish Dish
85,2024-03,2024-03-11,2024-03-11 11:32:58.781,card,38.92,2.26,Pork Chops,Meat Dish
86,2024-03,2024-03-11,2024-03-11 16:24:26.401,card,30.53,5.37,Grilled Salmon,Fish Dish
