Rank,City,State,Area in km²,first time as a large city,1950,1960,1970,1980,1990,2000,2010,2020,2021
1,Berlin,Berlin,891.68,1747,3336026,3274016,3208719,3048759,3433695,3382169,3460725,3664088,3677472
2,Hamburg,Hamburg,755.22,1787,1605606,1836958,1793640,1645095,1652363,1715392,1786448,1852478,1853935
3,München,Bayern,310.7,1852,831937,1101384,1311978,1298941,1229026,1210223,1353186,1488202,1487708
4,Köln,Nordrhein-Westfalen,405.02,1852,594941,801142,849451,976694,953551,962884,1007119,1083498,1073096
5,Frankfurt am Main,Hessen,248.31,1875,532037,675009,666179,629375,644865,648550,679664,764104,759224
6,Stuttgart,Baden-Württemberg,207.35,1874,497677,637366,634202,580648,579988,583874,606588,630305,626275
7,Düsseldorf,Nordrhein-Westfalen,217.41,1882,500516,697891,660963,590479,575794,569364,588735,620523,619477
8,Leipzig,Sachsen,297.8,1871,617574,589632,583885,562480,511079,493208,522883,597493,601866
9,Dortmund,Nordrhein-Westfalen,280.71,1894,507349,640802,640642,608297,599055,588994,580444,587696,586852
10,Essen,Nordrhein-Westfalen,210.34,1896,605411,729462,696419,647643,626973,595243,574635,582415,579432
11,Bremen,Bremen,325.56,1875,444549,563270,592533,555118,551219,539403,547340,566573,563290
12,Dresden,Sachsen,328.48,1852,494187,493603,502432,516225,490571,477807,523058,556227,555351
13,Hannover,Niedersachsen,204.14,1875,444296,574672,521003,534623,513010,515001,522686,534049,535932
14,Nürnberg,Bayern,186.38,1881,362459,458401,478181,484405,493692,488400,505664,515543,510632
15,Duisburg,Nordrhein-Westfalen,232.8,1903,410783,503641,452721,558089,535447,514915,489599,495885,495152
16,Bochum,Nordrhein-Westfalen,145.66,1904,289804,362490,343809,400757,396486,391147,374737,364454,363441
17,Wuppertal,Nordrhein-Westfalen,168.39,1884,363224,421378,417694,393381,383660,366434,349721,355004,354572
18,Bielefeld,Nordrhein-Westfalen,258.82,1930,153613,174527,168609,312708,319037,321758,323270,333509,334002
19,Bonn,Nordrhein-Westfalen,141.06,1934,115394,146889,275722,288148,292234,302247,324899,330579,331885
20,Münster,Nordrhein-Westfalen,303.28,1915,118496,180871,198878,269696,259438,265609,279803,316403,317713
21,Mannheim,Baden-Württemberg,144.96,1897,245634,311383,332378,304303,310411,306729,313174,309721,311831
22,Karlsruhe,Baden-Württemberg,173.46,1901,198840,240450,259091,271892,275061,278558,294761,308436,306502
23,Augsburg,Bayern,146.84,1909,185183,206422,213230,248346,256877,254982,264708,295830,296478
24,Wiesbaden,Hessen,203.93,1905,220741,257293,250715,274464,260301,270109,275976,278609,278950
25,Mönchen­gladbach ,Nordrhein-Westfalen,170.47,1921,124879,152414,151085,258424,259436,263014,257993,259665,261001
26,Gelsenkirchen,Nordrhein-Westfalen,104.94,1903,315460,388608,347074,304386,293714,278695,257981,259105,260126
27,Aachen,Nordrhein-Westfalen,160.85,1888,129811,170367,175451,243947,241861,244386,258664,248878,249070
28,Braunschweig,Niedersachsen,192.18,1890,223760,242489,223275,261141,258833,245816,248867,248561,248823
29,Kiel,Schleswig-Holstein,118.65,1900,254449,271610,271070,250062,245567,232612,239526,246601,246243
30,Chemnitz,Sachsen,221.05,1883,293373,286329,299411,317644,294244,259246,243248,244401,243105
31,Halle (Saale),Sachsen-Anhalt,135.02,1890,289119,277855,257261,232294,310234,247736,232963,237865,238061
32,Magdeburg,Sachsen-Anhalt,201.0,1882,260305,261594,272237,289032,278807,231450,231549,235775,236188
33,Freiburg im Breisgau,Baden-Württemberg,153.06,1934,109717,141637,163568,175106,191029,205102,224191,230940,231848
34,Krefeld,Nordrhein-Westfalen,137.77,1888,171875,211479,222666,223969,244020,239916,235076,226844,227050
35,Mainz,Rheinland-Pfalz,97.74,1908,88369,133089,174858,187392,179486,182870,199237,217123,217556
36,Lübeck,Schleswig-Holstein,214.21,1912,238276,232140,239955,220588,214758,213399,210232,215846,216277
37,Erfurt,Thüringen,269.88,1906,188650,186448,195994,211575,208989,200564,204994,213692,213227
38,Oberhausen,Nordrhein-Westfalen,77.09,1914,202808,258626,246199,228947,223840,222151,212945,209566,208752
39,Rostock,Mecklenburg-Vorpommern,181.26,1935,133109,158630,198636,232506,248088,200506,202735,209061,208400
40,Kassel,Hessen,106.78,1899,162132,206354,214785,195912,194268,194766,195530,201048,200406
41,Hagen,Nordrhein-Westfalen,160.45,1928,146401,195500,201042,218927,214449,203151,188526,188687,188713
42,Potsdam,Brandenburg,188.61,1939,118180,115004,111336,130900,139794,129324,156906,182112,183154
43,Saarbrücken,Saarland,167.09,1909,111450,129801,128251,193554,191694,183257,175741,179349,179634
44,Hamm,Nordrhein-Westfalen,226.43,1975,59866,68775,84629,171869,179639,182427,181783,178967,179238
45,Ludwigshafen am Rhein,Rheinland-Pfalz,77.55,1921,123869,164657,176257,159399,162233,163383,164177,172557,172145
46,Mülheim an der Ruhr,Nordrhein-Westfalen,91.28,1908,149589,183979,192183,181279,177681,172862,167344,170921,170739
47,Oldenburg ,Niedersachsen,102.99,1946,122809,122337,131545,136764,143131,154832,162173,169605,170389
48,Osnabrück,Niedersachsen,119.8,1939,109538,135821,144864,157367,163168,164101,164119,164223,165034
49,Leverkusen,Nordrhein-Westfalen,78.87,1963,65531,93940,107626,160825,160919,161047,160772,163905,163851
50,Darmstadt,Hessen,122.09,1937,94788,138736,141847,138201,138920,138242,144402,159174,159631
51,Heidelberg,Baden-Württemberg,108.84,1946,116488,127595,121398,133227,136796,140259,147312,158741,159245
52,Solingen,Nordrhein-Westfalen,89.54,1929,147845,170619,177124,166085,165401,164973,159927,159193,158957
53,Herne,Nordrhein-Westfalen,51.42,1933,111591,113252,103849,182542,178132,174529,164762,156940,156621
54,Regensburg,Bayern,80.7,1940,117291,123751,130888,132604,121691,125676,135520,152270,153542
55,Neuss,Nordrhein-Westfalen,99.52,1963,63478,93680,116013,149334,147019,150013,151388,153109,152731
56,Paderborn,Nordrhein-Westfalen,179.59,1975,40270,52773,68207,110155,120680,139084,146283,151864,152531
57,Ingolstadt,Bayern,133.37,1989,40523,52540,70594,90490,105489,115722,125088,136952,138016
